id,symbol,name,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,rank,coinGecko_link
bitcoffeen,bff,Bitcoffeen,0,0,0,,2020/12/28,2723,https://www.coingecko.com/en/coins/bitcoffeen
bitcoiin,b2g,Bitcoiin,0,0,32,,2020/12/30,2724,https://www.coingecko.com/en/coins/bitcoiin
bitcoin-5000,bvk,Bitcoin 5000,0,0,66,,2020/12/25,2725,https://www.coingecko.com/en/coins/bitcoin-5000
bitcoin-adult,btad,Bitcoin Adult,0,0,4,-19,2020/12/31,2726,https://www.coingecko.com/en/coins/bitcoin-adult
bitcoin-air,xba,Bitcoin Air,0,0,137,,2020/12/25,2727,https://www.coingecko.com/en/coins/bitcoin-air
bitcoin-atom,bca,Bitcoin Atom,0,0,68,3,2020/12/31,2728,https://www.coingecko.com/en/coins/bitcoin-atom
bitcoin-bep2,btcb,Bitcoin BEP2,28414,0,1628300,0,2020/12/31,2729,https://www.coingecko.com/en/coins/bitcoin-bep2
bitcoinboss,boss,BitcoinBOSS,0,0,1,,2020/12/6,2730,https://www.coingecko.com/en/coins/bitcoinboss
bitcoin-bull,bitb,Bitcoin Bull,0,0,0,,2020/12/18,2731,https://www.coingecko.com/en/coins/bitcoin-bull
bitcoin-candy,cdy,Bitcoin Candy,0,0,6,,2020/12/29,2732,https://www.coingecko.com/en/coins/bitcoin-candy
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,16,0,14023798,1,2020/12/31,2733,https://www.coingecko.com/en/coins/bitcoin-cash-abc-2
bitcoin-classic-token,bct,Bitcoin Classic Token,0,0,0,,2020/12/18,2734,https://www.coingecko.com/en/coins/bitcoin-classic-token
bitcoin-cure,byron,Byron,0,0,71,37,2020/12/31,2735,https://www.coingecko.com/en/coins/bitcoin-cure
bitcoin-file,bifi,Bitcoin File,0,0,87109,-6,2020/12/31,2736,https://www.coingecko.com/en/coins/bitcoin-file
bitcoin-final,btcf,Bitcoin Final,0,0,5,,2020/12/30,2737,https://www.coingecko.com/en/coins/bitcoin-final
bitcoin-flash-cash,btfc,Bitcoin Flash Cash,23,0,6,2,2020/12/31,2738,https://www.coingecko.com/en/coins/bitcoin-flash-cash
bitcoin-free-cash,bfc,Bitcoin Free Cash,0,0,10475,0,2020/12/31,2739,https://www.coingecko.com/en/coins/bitcoin-free-cash
bitcoin-galaxy-warp,btcgw,Bitcoin Galaxy Warp,0,0,0,-90,2020/12/22,2740,https://www.coingecko.com/en/coins/bitcoin-galaxy-warp
bitcoingenx,bgx,BitcoinGenX,0,0,1,,2020/12/29,2741,https://www.coingecko.com/en/coins/bitcoingenx
bitcoin-god,god,Bitcoin God,0,0,89478,3,2020/12/31,2742,https://www.coingecko.com/en/coins/bitcoin-god
bitcoin-hd,bhd,Bitcoin HD,1,0,725331,-3,2020/12/31,2743,https://www.coingecko.com/en/coins/bitcoin-hd
bitcoinhedge,btchg,BITCOINHEDGE,8,0,18,,2020/12/30,2744,https://www.coingecko.com/en/coins/bitcoinhedge
bitcoin-high-yield-set,bhy,Bitcoin High Yield Set,106,0,1210,,2020/11/30,2745,https://www.coingecko.com/en/coins/bitcoin-high-yield-set
bitcoin-hot,bth,Bitcoin Hot,0,0,13926,0,2020/12/31,2746,https://www.coingecko.com/en/coins/bitcoin-hot
bitcoin-interest,bci,Bitcoin Interest,0,0,0,2,2020/12/31,2747,https://www.coingecko.com/en/coins/bitcoin-interest
bitcoininvest,btv,BitcoinInvest,0,0,0,,2020/11/12,2748,https://www.coingecko.com/en/coins/bitcoininvest
bitcoinmoney,bcm,BitcoinMoney,0,0,1,1,2020/12/31,2749,https://www.coingecko.com/en/coins/bitcoinmoney
bitcoinmono,btcmz,BitcoinMono,0,0,0,17,2020/12/27,2750,https://www.coingecko.com/en/coins/bitcoinmono
bitcoin-pay,btp,Bitcoin Pay,0,0,37193,-60,2020/12/31,2751,https://www.coingecko.com/en/coins/bitcoin-pay
bitcoin-platinum,bcp,Bitcoin Platinums,0,0,0,4,2020/12/26,2752,https://www.coingecko.com/en/coins/bitcoin-platinum
bitcoinpos,bps,BitcoinPoS,6,0,261810,19,2020/12/31,2753,https://www.coingecko.com/en/coins/bitcoinpos
bitcoinregular,btrl,BitcoinRegular,0,0,5354,-26,2020/12/31,2754,https://www.coingecko.com/en/coins/bitcoinregular
bitcoin-short,bshort,Bitcoin Short,17,0,661,,2020/12/25,2755,https://www.coingecko.com/en/coins/bitcoin-short
bitcoin-silver,btcs,Bitcoin Silver,4,0,8,48,2020/12/31,2756,https://www.coingecko.com/en/coins/bitcoin-silver
bitcoinstaking,bsk,BitcoinStaking,0,0,533,4,2020/12/31,2757,https://www.coingecko.com/en/coins/bitcoinstaking
bitcoin-stash,bsh,Bitcoin Stash,0,0,23,-84,2020/12/31,2758,https://www.coingecko.com/en/coins/bitcoin-stash
bitcoin-subsidium,xbtx,Bitcoin Subsidium,0,0,72,1,2020/12/31,2759,https://www.coingecko.com/en/coins/bitcoin-subsidium
bitcoinsvgold,bsvg,BITCOINSVGOLD,0,0,0,,2020/11/24,2760,https://www.coingecko.com/en/coins/bitcoinsvgold
bitcoin-true,BTCT,Bitcoin True,0,0,5,105,2020/12/31,2761,https://www.coingecko.com/en/coins/bitcoin-true
bitcoin-trust,bct,Bitcoin Trust,0,0,79,-32,2020/12/31,2762,https://www.coingecko.com/en/coins/bitcoin-trust
bitcoin-ultra,btcu,BitcoinUltra,0,0,4,0,2020/12/30,2763,https://www.coingecko.com/en/coins/bitcoin-ultra
bitcoin-vault,btcv,Bitcoin Vault,136,0,27211915,-1,2020/12/31,2764,https://www.coingecko.com/en/coins/bitcoin-vault
bitcoin-virtual-gold,bvg,Bitcoin Virtual Gold,0,0,640,-21,2020/12/31,2765,https://www.coingecko.com/en/coins/bitcoin-virtual-gold
